;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 7/3/2014 10:14:25 a.m.
;----------------------------------------------

;Address Opcode 	ASM
0x02BE	0xC2A3    	CLR LCD_D5
;__Lib_Lcd.c,90 :: 		
0x02C0	0xC2A2    	CLR LCD_D4
;__Lib_Lcd.c,93 :: 		
0x02C2	0xD2A3    	SETB LCD_D5
;__Lib_Lcd.c,94 :: 		
0x02C4	0xD2A2    	SETB LCD_D4
;__Lib_Lcd.c,95 :: 		
0x02C6	0xD2A1    	SETB LCD_EN
;__Lib_Lcd.c,96 :: 		
0x02C8	0x113D    	ACALL _Delay_1us
;__Lib_Lcd.c,97 :: 		
0x02CA	0xC2A1    	CLR LCD_EN
;__Lib_Lcd.c,98 :: 		
0x02CC	0x1133    	ACALL _Delay_5500us
;__Lib_Lcd.c,100 :: 		
0x02CE	0xD2A1    	SETB LCD_EN
;__Lib_Lcd.c,101 :: 		
0x02D0	0x113D    	ACALL _Delay_1us
;__Lib_Lcd.c,102 :: 		
0x02D2	0xC2A1    	CLR LCD_EN
;__Lib_Lcd.c,103 :: 		
0x02D4	0x1133    	ACALL _Delay_5500us
;__Lib_Lcd.c,105 :: 		
0x02D6	0xD2A1    	SETB LCD_EN
;__Lib_Lcd.c,106 :: 		
0x02D8	0x113D    	ACALL _Delay_1us
;__Lib_Lcd.c,107 :: 		
0x02DA	0xC2A1    	CLR LCD_EN
;__Lib_Lcd.c,108 :: 		
0x02DC	0x1133    	ACALL _Delay_5500us
;__Lib_Lcd.c,111 :: 		
0x02DE	0xD2A3    	SETB LCD_D5
;__Lib_Lcd.c,112 :: 		
0x02E0	0xC2A2    	CLR LCD_D4
;__Lib_Lcd.c,113 :: 		
0x02E2	0xD2A1    	SETB LCD_EN
;__Lib_Lcd.c,114 :: 		
0x02E4	0x113D    	ACALL _Delay_1us
;__Lib_Lcd.c,115 :: 		
0x02E6	0xC2A1    	CLR LCD_EN
;__Lib_Lcd.c,116 :: 		
0x02E8	0x1133    	ACALL _Delay_5500us
;__Lib_Lcd.c,119 :: 		
0x02EA	0xC2A5    	CLR LCD_D7
;__Lib_Lcd.c,120 :: 		
0x02EC	0xC2A4    	CLR LCD_D6
;__Lib_Lcd.c,121 :: 		
0x02EE	0xC2A3    	CLR LCD_D5
;__Lib_Lcd.c,122 :: 		
0x02F0	0xD2A3    	SETB LCD_D5
;__Lib_Lcd.c,123 :: 		
0x02F2	0xC2A2    	CLR LCD_D4
;__Lib_Lcd.c,124 :: 		
0x02F4	0xD2A1    	SETB LCD_EN
;__Lib_Lcd.c,125 :: 		
0x02F6	0x113D    	ACALL _Delay_1us
;__Lib_Lcd.c,126 :: 		
0x02F8	0xC2A1    	CLR LCD_EN
;__Lib_Lcd.c,127 :: 		
0x02FA	0xC2A3    	CLR LCD_D5
;__Lib_Lcd.c,128 :: 		
0x02FC	0xD2A5    	SETB LCD_D7
;__Lib_Lcd.c,129 :: 		
0x02FE	0xD2A1    	SETB LCD_EN
;__Lib_Lcd.c,130 :: 		
0x0300	0x113D    	ACALL _Delay_1us
;__Lib_Lcd.c,131 :: 		
0x0302	0xC2A1    	CLR LCD_EN
;__Lib_Lcd.c,132 :: 		
0x0304	0x1133    	ACALL _Delay_5500us
;__Lib_Lcd.c,135 :: 		
0x0306	0xC2A5    	CLR LCD_D7
;__Lib_Lcd.c,136 :: 		
0x0308	0xD2A2    	SETB LCD_D4
;__Lib_Lcd.c,137 :: 		
0x030A	0xD2A1    	SETB LCD_EN
;__Lib_Lcd.c,138 :: 		
0x030C	0x113D    	ACALL _Delay_1us
;__Lib_Lcd.c,139 :: 		
0x030E	0xC2A1    	CLR LCD_EN
;__Lib_Lcd.c,140 :: 		
0x0310	0xC2A2    	CLR LCD_D4
;__Lib_Lcd.c,141 :: 		
0x0312	0xD2A1    	SETB LCD_EN
;__Lib_Lcd.c,142 :: 		
0x0314	0x113D    	ACALL _Delay_1us
;__Lib_Lcd.c,143 :: 		
0x0316	0xC2A1    	CLR LCD_EN
;__Lib_Lcd.c,144 :: 		
0x0318	0x1133    	ACALL _Delay_5500us
;__Lib_Lcd.c,147 :: 		
0x031A	0xC2A2    	CLR LCD_D4
;__Lib_Lcd.c,148 :: 		
0x031C	0xD2A1    	SETB LCD_EN
;__Lib_Lcd.c,149 :: 		
0x031E	0x113D    	ACALL _Delay_1us
;__Lib_Lcd.c,150 :: 		
0x0320	0xC2A1    	CLR LCD_EN
;__Lib_Lcd.c,151 :: 		
0x0322	0xD2A2    	SETB LCD_D4
;__Lib_Lcd.c,152 :: 		
0x0324	0xD2A1    	SETB LCD_EN
;__Lib_Lcd.c,153 :: 		
0x0326	0x113D    	ACALL _Delay_1us
;__Lib_Lcd.c,154 :: 		
0x0328	0xC2A1    	CLR LCD_EN
;__Lib_Lcd.c,155 :: 		
0x032A	0x1133    	ACALL _Delay_5500us
;__Lib_Lcd.c,158 :: 		
0x032C	0xC2A2    	CLR LCD_D4
;__Lib_Lcd.c,159 :: 		
0x032E	0xD2A1    	SETB LCD_EN
;__Lib_Lcd.c,160 :: 		
0x0330	0x113D    	ACALL _Delay_1us
;__Lib_Lcd.c,161 :: 		
0x0332	0xC2A1    	CLR LCD_EN
;__Lib_Lcd.c,163 :: 		
0x0334	0xD2A5    	SETB LCD_D7
;__Lib_Lcd.c,164 :: 		
0x0336	0xD2A4    	SETB LCD_D6
;__Lib_Lcd.c,165 :: 		
0x0338	0xD2A3    	SETB LCD_D5
;__Lib_Lcd.c,166 :: 		
0x033A	0xD2A2    	SETB LCD_D4
;__Lib_Lcd.c,167 :: 		
0x033C	0xD2A1    	SETB LCD_EN
;__Lib_Lcd.c,168 :: 		
0x033E	0x113D    	ACALL _Delay_1us
;__Lib_Lcd.c,169 :: 		
0x0340	0xC2A1    	CLR LCD_EN
;__Lib_Lcd.c,171 :: 		
0x0342	0x1133    	ACALL _Delay_5500us
;__Lib_Lcd.c,173 :: 		
0x0344	0x750A01  	MOV _cmd_status, #1
;__Lib_Lcd.c,174 :: 		
0x0347	0x22      	RET
; end of _Lcd_Init
_Keypad_Key_Click:
;__Lib_Keypad4x4.c,81 :: 		
;__Lib_Keypad4x4.c,85 :: 		
0x0348	0x31D8    	ACALL _Keypad_Key_Press
0x034A	0x850012  	MOV Keypad_Key_Click_rslt_L0, 0
;__Lib_Keypad4x4.c,87 :: 		
L_Keypad_Key_Click5:
0x034D	0xE580    	MOV A, keypadPort
0x034F	0x540F    	ANL A, #15
0x0351	0xF9      	MOV R1, A
0x0352	0x640F    	XRL A, #15
0x0354	0x6004    	JZ L_Keypad_Key_Click6
;__Lib_Keypad4x4.c,88 :: 		
0x0356	0x31D3    	ACALL _Delay_10us
0x0358	0x80F3    	SJMP L_Keypad_Key_Click5
L_Keypad_Key_Click6:
;__Lib_Keypad4x4.c,90 :: 		
0x035A	0xA812    	MOV R0, Keypad_Key_Click_rslt_L0
;__Lib_Keypad4x4.c,91 :: 		
0x035C	0x22      	RET
; end of _Keypad_Key_Click
_IntToStr:
;__Lib_Conversions.c,146 :: 		
;__Lib_Conversions.c,152 :: 		
0x035D	0x751700  	MOV IntToStr_negative_L0, #0
0x0360	0x751800  	MOV IntToStr_negative_L0+1, #0
;__Lib_Conversions.c,153 :: 		
0x0363	0x851219  	MOV IntToStr_inword_L0, FARG_IntToStr_input+0
0x0366	0x85131A  	MOV IntToStr_inword_L0+1, FARG_IntToStr_input+1
;__Lib_Conversions.c,154 :: 		
0x0369	0xC3      	CLR C
0x036A	0xE512    	MOV A, FARG_IntToStr_input
0x036C	0x9400    	SUBB A, #0
0x036E	0x7400    	MOV A, #0
0x0370	0x6480    	XRL A, #128
0x0372	0xF8      	MOV R0, A
0x0373	0xE513    	MOV A, FARG_IntToStr_input+1
0x0375	0x6480    	XRL A, #128
0x0377	0x98      	SUBB A, R0
0x0378	0x5013    	JNC L_IntToStr23
;__Lib_Conversions.c,155 :: 		
0x037A	0x751701  	MOV IntToStr_negative_L0, #1
0x037D	0x751800  	MOV IntToStr_negative_L0+1, #0
;__Lib_Conversions.c,156 :: 		
0x0380	0xC3      	CLR C
0x0381	0x7400    	MOV A, #0
0x0383	0x9512    	SUBB A, FARG_IntToStr_input
0x0385	0xF519    	MOV IntToStr_inword_L0, A
0x0387	0x7400    	MOV A, #0
0x0389	0x9513    	SUBB A, FARG_IntToStr_input+1
0x038B	0xF51A    	MOV IntToStr_inword_L0+1, A
;__Lib_Conversions.c,157 :: 		
L_IntToStr23:
;__Lib_Conversions.c,158 :: 		
0x038D	0x85191B  	MOV FARG_WordToStr_input, IntToStr_inword_L0+0
0x0390	0x851A1C  	MOV FARG_WordToStr_input+1, IntToStr_inword_L0+1
0x0393	0x85141D  	MOV FARG_WordToStr_output, FARG_IntToStr_output+0
0x0396	0x317C    	ACALL _WordToStr
;__Lib_Conversions.c,160 :: 		
0x0398	0x751506  	MOV IntToStr_i_L0, #6
0x039B	0x751600  	MOV IntToStr_i_L0+1, #0
;__Lib_Conversions.c,161 :: 		
L_IntToStr24:
0x039E	0xD3      	SETB C
0x039F	0xE515    	MOV A, IntToStr_i_L0
0x03A1	0x9400    	SUBB A, #0
0x03A3	0xE516    	MOV A, IntToStr_i_L0+1
0x03A5	0x9400    	SUBB A, #0
0x03A7	0x4025    	JC L_IntToStr25
;__Lib_Conversions.c,162 :: 		
0x03A9	0xE514    	MOV A, FARG_IntToStr_output
0x03AB	0x2515    	ADD A, IntToStr_i_L0
0x03AD	0xF8      	MOV R0, A
0x03AE	0xC3      	CLR C
0x03AF	0xE515    	MOV A, IntToStr_i_L0
0x03B1	0x9401    	SUBB A, #1
0x03B3	0xF9      	MOV R1, A
0x03B4	0xE516    	MOV A, IntToStr_i_L0+1
0x03B6	0x9400    	SUBB A, #0
0x03B8	0xFA      	MOV R2, A
0x03B9	0xE514    	MOV A, FARG_IntToStr_output
0x03BB	0x29      	ADD A, R1
0x03BC	0xF9      	MOV R1, A
0x03BD	0xE7      	MOV A, @R1
0x03BE	0xF6      	MOV @R0, A
;__Lib_Conversions.c,163 :: 		
0x03BF	0xC3      	CLR C
0x03C0	0xE515    	MOV A, IntToStr_i_L0
0x03C2	0x9401    	SUBB A, #1
0x03C4	0xF515    	MOV IntToStr_i_L0, A
0x03C6	0xE516    	MOV A, IntToStr_i_L0+1
0x03C8	0x9400    	SUBB A, #0
0x03CA	0xF516    	MOV IntToStr_i_L0+1, A
;__Lib_Conversions.c,164 :: 		
0x03CC	0x80D0    	SJMP L_IntToStr24
L_IntToStr25:
;__Lib_Conversions.c,165 :: 		
0x03CE	0xA814    	MOV R0, FARG_IntToStr_output
0x03D0	0x7620    	MOV @R0, #32
;__Lib_Conversions.c,166 :: 		
0x03D2	0xE517    	MOV A, IntToStr_negative_L0
0x03D4	0x4518    	ORL A, IntToStr_negative_L0+1
0x03D6	0x6034    	JZ L_IntToStr26
;__Lib_Conversions.c,167 :: 		
0x03D8	0x751500  	MOV IntToStr_i_L0, #0
0x03DB	0x751600  	MOV IntToStr_i_L0+1, #0
;__Lib_Conversions.c,168 :: 		
L_IntToStr27:
0x03DE	0xE514    	MOV A, FARG_IntToStr_output
0x03E0	0x2515    	ADD A, IntToStr_i_L0
0x03E2	0xF8      	MOV R0, A
0x03E3	0x8601    	MOV R1, @R0
0x03E5	0xE9      	MOV A, R1
0x03E6	0x6420    	XRL A, #32
0x03E8	0x700E    	JNZ L_IntToStr28
0x03EA	0x7401    	MOV A, #1
0x03EC	0x2515    	ADD A, IntToStr_i_L0
0x03EE	0xF515    	MOV IntToStr_i_L0, A
0x03F0	0x7400    	MOV A, #0
0x03F2	0x3516    	ADDC A, IntToStr_i_L0+1
0x03F4	0xF516    	MOV IntToStr_i_L0+1, A
0x03F6	0x80E6    	SJMP L_IntToStr27
L_IntToStr28:
;__Lib_Conversions.c,169 :: 		
0x03F8	0xC3      	CLR C
0x03F9	0xE515    	MOV A, IntToStr_i_L0
0x03FB	0x9401    	SUBB A, #1
0x03FD	0xF515    	MOV IntToStr_i_L0, A
0x03FF	0xE516    	MOV A, IntToStr_i_L0+1
0x0401	0x9400    	SUBB A, #0
0x0403	0xF516    	MOV IntToStr_i_L0+1, A
;__Lib_Conversions.c,170 :: 		
0x0405	0xE514    	MOV A, FARG_IntToStr_output
0x0407	0x2515    	ADD A, IntToStr_i_L0
0x0409	0xF8      	MOV R0, A
0x040A	0x762D    	MOV @R0, #45
L_IntToStr26:
;__Lib_Conversions.c,171 :: 		
0x040C	0x22      	RET
; end of _IntToStr
_Div_16x16_S:
;__Lib_Math.c,371 :: 		
;__Lib_Math.c,373 :: 		
0x040D	0xC2D5    	CLR F0_bit
;__Lib_Math.c,374 :: 		
0x040F	0xED      	MOV A, R5
;__Lib_Math.c,375 :: 		
0x0410	0x30E709  	JNB 231, __Div_16x16_S_op2hipositive
;__Lib_Math.c,376 :: 		
0x0413	0xB2D5    	CPL F0_bit
;__Lib_Math.c,377 :: 		
0x0415	0xE4      	CLR A
;__Lib_Math.c,378 :: 		
0x0416	0xC3      	CLR C
;__Lib_Math.c,379 :: 		
0x0417	0x9C      	SUBB A, R4
;__Lib_Math.c,380 :: 		
0x0418	0xFC      	MOV R4, A
;__Lib_Math.c,381 :: 		
0x0419	0xE4      	CLR A
;__Lib_Math.c,382 :: 		
0x041A	0x9D      	SUBB A, R5
;__Lib_Math.c,383 :: 		
0x041B	0xFD      	MOV R5, A
;__Lib_Math.c,385 :: 		
__Div_16x16_S_op2hipositive:
;__Lib_Math.c,386 :: 		
0x041C	0xE9      	MOV A, R1
;__Lib_Math.c,387 :: 		
0x041D	0x30E715  	JNB 231, __Div_16x16_S_op1hipositive
;__Lib_Math.c,388 :: 		
0x0420	0xB2D5    	CPL F0_bit
;__Lib_Math.c,389 :: 		
0x0422	0xE4      	CLR A
;__Lib_Math.c,390 :: 		
0x0423	0xC3      	CLR C
;__Lib_Math.c,391 :: 		
0x0424	0x98      	SUBB A, R0
;__Lib_Math.c,392 :: 		
0x0425	0xF8      	MOV R0, A
;__Lib_Math.c,393 :: 		
0x0426	0xE4      	CLR A
;__Lib_Math.c,394 :: 		
0x0427	0x99      	SUBB A, R1
;__Lib_Math.c,395 :: 		
0x0428	0xF9      	MOV R1, A
;__Lib_Math.c,396 :: 		
0x0429	0x120040  	LCALL _Div_16x16_U
;__Lib_Math.c,397 :: 		
0x042C	0xC3      	CLR C
;__Lib_Math.c,398 :: 		
0x042D	0xE4      	CLR A
;__Lib_Math.c,399 :: 		
0x042E	0x9C      	SUBB A, R4
;__Lib_Math.c,400 :: 		
0x042F	0xFC      	MOV R4, A
;__Lib_Math.c,401 :: 		
0x0430	0xE4      	CLR A
;__Lib_Math.c,402 :: 		
0x0431	0x9D      	SUBB A, R5
;__Lib_Math.c,403 :: 		
0x0432	0xFD      	MOV R5, A
;__Lib_Math.c,404 :: 		
0x0433	0x8003    	SJMP __Div_16x16_S_Skip_Udiv
;__Lib_Math.c,406 :: 		
__Div_16x16_S_op1hipositive:
;__Lib_Math.c,407 :: 		
0x0435	0x120040  	LCALL _Div_16x16_U
;__Lib_Math.c,409 :: 		
__Div_16x16_S_Skip_Udiv:
;__Lib_Math.c,410 :: 		
0x0438	0x30D507  	JNB F0_bit, __Div_16x16_S_div_ret
;__Lib_Math.c,411 :: 		
0x043B	0xC3      	CLR C
;__Lib_Math.c,412 :: 		
0x043C	0xE4      	CLR A
;__Lib_Math.c,413 :: 		
0x043D	0x98      	SUBB A, R0
;__Lib_Math.c,414 :: 		
0x043E	0xF8      	MOV R0, A
;__Lib_Math.c,415 :: 		
0x043F	0xE4      	CLR A
;__Lib_Math.c,416 :: 		
0x0440	0x99      	SUBB A, R1
;__Lib_Math.c,417 :: 		
0x0441	0xF9      	MOV R1, A
;__Lib_Math.c,419 :: 		
__Div_16x16_S_div_ret:
;__Lib_Math.c,421 :: 		
0x0442	0x22      	RET
; end of _Div_16x16_S
_Mul_16x16:
;__Lib_Math.c,112 :: 		
;__Lib_Math.c,114 :: 		
0x0443	0xE8      	MOV A, R0
;__Lib_Math.c,115 :: 		
0x0444	0x8CF0    	MOV B, R4
;__Lib_Math.c,116 :: 		
0x0446	0xA4      	MUL AB
;__Lib_Math.c,117 :: 		
0x0447	0xAFF0    	MOV R7, B
;__Lib_Math.c,118 :: 		
0x0449	0xC8      	XCH A, R0
;__Lib_Math.c,119 :: 		
0x044A	0x8DF0    	MOV B, R5
;__Lib_Math.c,120 :: 		
0x044C	0xA4      	MUL AB
;__Lib_Math.c,121 :: 		
0x044D	0x2F      	ADD A, R7
;__Lib_Math.c,122 :: 		
0x044E	0xC9      	XCH A, R1
;__Lib_Math.c,123 :: 		
0x044F	0x8CF0    	MOV B, R4
;__Lib_Math.c,124 :: 		
0x0451	0xA4      	MUL AB
;__Lib_Math.c,125 :: 		
0x0452	0x29      	ADD A, R1
;__Lib_Math.c,126 :: 		
0x0453	0xF9      	MOV R1, A
;__Lib_Math.c,128 :: 		
0x0454	0x22      	RET
; end of _Mul_16x16
_main:
0x0455	0x758180  	MOV SP, #128
0x0458	0x120647  	LCALL 1607
;calculadora.c,20 :: 		void main() {
;calculadora.c,21 :: 		Keypad_Init();                           // Inicializa Keypad
0x045B	0x51A4    	ACALL _Keypad_Init
;calculadora.c,22 :: 		Lcd_Init();                              // Inicializa Lcd
0x045D	0x51B0    	ACALL _Lcd_Init
;calculadora.c,23 :: 		Lcd_Cmd(_LCD_CLEAR);                     // Limpiar pantalla LCD
0x045F	0x752001  	MOV FARG_Lcd_Cmd_out_char, #1
0x0462	0x1195    	ACALL _Lcd_Cmd
;calculadora.c,24 :: 		Lcd_Cmd(_LCD_CURSOR_OFF);                // Cursor off
0x0464	0x75200C  	MOV FARG_Lcd_Cmd_out_char, #12
0x0467	0x1195    	ACALL _Lcd_Cmd
;calculadora.c,26 :: 		Lcd_Out(1, 2, "Calculador 8051");                 // Write message text on Lcd
0x0469	0x751201  	MOV FARG_LCD_Out_row, #1
0x046C	0x751302  	MOV FARG_LCD_Out_column, #2
0x046F	0x751434  	MOV FARG_LCD_Out_text, lo_addr(?lstr1_calculadora)
0x0472	0x513E    	ACALL _LCD_Out
;calculadora.c,28 :: 		do {
L_main0:
;calculadora.c,29 :: 		kp = 0;                                // Resetear variable de teclado
0x0474	0x750900  	MOV _kp, #0
;calculadora.c,31 :: 		do{
L_main3:
;calculadora.c,33 :: 		kp = Keypad_Key_Click();             // Almacena en kp la tecla presionada
0x0477	0x7148    	ACALL _Keypad_Key_Click
0x0479	0x850009  	MOV _kp, 0
;calculadora.c,34 :: 		}while (!kp);
0x047C	0xE8      	MOV A, R0
0x047D	0x60F8    	JZ L_main3
;calculadora.c,36 :: 		switch (kp) {
0x047F	0x805C    	SJMP L_main6
;calculadora.c,37 :: 		case  1: kp = 1; break;                   // 1
L_main8:
0x0481	0x750901  	MOV _kp, #1
0x0484	0xA151    	AJMP L_main7
;calculadora.c,38 :: 		case  2: kp = 2; break;                   // 2
L_main9:
0x0486	0x750902  	MOV _kp, #2
0x0489	0xA151    	AJMP L_main7
;calculadora.c,39 :: 		case  3: kp = 3; break;                   // 3
L_main10:
0x048B	0x750903  	MOV _kp, #3
0x048E	0xA151    	AJMP L_main7
;calculadora.c,40 :: 		case  4: kp = 10; operacion[0]=43; break; // A (+)
L_main11:
0x0490	0x75090A  	MOV _kp, #10
0x0493	0x75082B  	MOV _operacion, #43
0x0496	0xA151    	AJMP L_main7
;calculadora.c,41 :: 		case  5: kp = 4; break;                   // 4
L_main12:
0x0498	0x750904  	MOV _kp, #4
0x049B	0xA151    	AJMP L_main7
;calculadora.c,42 :: 		case  6: kp = 5; break;                   // 5
L_main13:
0x049D	0x750905  	MOV _kp, #5
0x04A0	0xA151    	AJMP L_main7
;calculadora.c,43 :: 		case  7: kp = 6; break;                   // 6
L_main14:
0x04A2	0x750906  	MOV _kp, #6
0x04A5	0xA151    	AJMP L_main7
;calculadora.c,44 :: 		case  8: kp = 11; operacion[0]=45; break; // B (-)
L_main15:
0x04A7	0x75090B  	MOV _kp, #11
0x04AA	0x75082D  	MOV _operacion, #45
0x04AD	0xA151    	AJMP L_main7
;calculadora.c,45 :: 		case  9: kp = 7; break;                   // 7
L_main16:
0x04AF	0x750907  	MOV _kp, #7
0x04B2	0xA151    	AJMP L_main7
;calculadora.c,46 :: 		case 10: kp = 8; break;                   // 8
L_main17:
0x04B4	0x750908  	MOV _kp, #8
0x04B7	0xA151    	AJMP L_main7
;calculadora.c,47 :: 		case 11: kp = 9; break;                   // 9
L_main18:
0x04B9	0x750909  	MOV _kp, #9
0x04BC	0xA151    	AJMP L_main7
;calculadora.c,48 :: 		case 12: kp = 12; operacion[0]=120; break;// C (*)
L_main19:
0x04BE	0x75090C  	MOV _kp, #12
0x04C1	0x750878  	MOV _operacion, #120
0x04C4	0xA151    	AJMP L_main7
;calculadora.c,49 :: 		case 13: kp = 20; break;                  // C (Limpiar)
L_main20:
0x04C6	0x750914  	MOV _kp, #20
0x04C9	0xA151    	AJMP L_main7
;calculadora.c,50 :: 		case 14: kp = 0; break;                   // 0
L_main21:
0x04CB	0x750900  	MOV _kp, #0
0x04CE	0xA151    	AJMP L_main7
;calculadora.c,51 :: 		case 15: kp = 21; break;                  // # (=)
L_main22:
0x04D0	0x750915  	MOV _kp, #21
0x04D3	0xA151    	AJMP L_main7
;calculadora.c,52 :: 		case 16: kp = 13; operacion[0]=253; break;// D (/)
L_main23:
0x04D5	0x75090D  	MOV _kp, #13
0x04D8	0x7508FD  	MOV _operacion, #253
0x04DB	0xA151    	AJMP L_main7
;calculadora.c,53 :: 		}
L_main6:
0x04DD	0xE509    	MOV A, _kp
0x04DF	0x6401    	XRL A, #1
0x04E1	0x609E    	JZ L_main8
0x04E3	0xE509    	MOV A, _kp
0x04E5	0x6402    	XRL A, #2
0x04E7	0x609D    	JZ L_main9
0x04E9	0xE509    	MOV A, _kp
0x04EB	0x6403    	XRL A, #3
0x04ED	0x609C    	JZ L_main10
0x04EF	0xE509    	MOV A, _kp
0x04F1	0x6404    	XRL A, #4
0x04F3	0x609B    	JZ L_main11
0x04F5	0xE509    	MOV A, _kp
0x04F7	0x6405    	XRL A, #5
0x04F9	0x609D    	JZ L_main12
0x04FB	0xE509    	MOV A, _kp
0x04FD	0x6406    	XRL A, #6
0x04FF	0x609C    	JZ L_main13
0x0501	0xE509    	MOV A, _kp
0x0503	0x6407    	XRL A, #7
0x0505	0x7002    	JNZ #2
0x0507	0x81A2    	AJMP L_main14
0x0509	0xE509    	MOV A, _kp
0x050B	0x6408    	XRL A, #8
0x050D	0x7002    	JNZ #2
0x050F	0x81A7    	AJMP L_main15
0x0511	0xE509    	MOV A, _kp
0x0513	0x6409    	XRL A, #9
0x0515	0x7002    	JNZ #2
0x0517	0x81AF    	AJMP L_main16
0x0519	0xE509    	MOV A, _kp
0x051B	0x640A    	XRL A, #10
0x051D	0x7002    	JNZ #2
0x051F	0x81B4    	AJMP L_main17
0x0521	0xE509    	MOV A, _kp
0x0523	0x640B    	XRL A, #11
0x0525	0x7002    	JNZ #2
0x0527	0x81B9    	AJMP L_main18
0x0529	0xE509    	MOV A, _kp
0x052B	0x640C    	XRL A, #12
0x052D	0x7002    	JNZ #2
0x052F	0x81BE    	AJMP L_main19
0x0531	0xE509    	MOV A, _kp
0x0533	0x640D    	XRL A, #13
0x0535	0x7002    	JNZ #2
0x0537	0x81C6    	AJMP L_main20
0x0539	0xE509    	MOV A, _kp
0x053B	0x640E    	XRL A, #14
0x053D	0x7002    	JNZ #2
0x053F	0x81CB    	AJMP L_main21
0x0541	0xE509    	MOV A, _kp
0x0543	0x640F    	XRL A, #15
0x0545	0x7002    	JNZ #2
0x0547	0x81D0    	AJMP L_main22
0x0549	0xE509    	MOV A, _kp
0x054B	0x6410    	XRL A, #16
0x054D	0x7002    	JNZ #2
0x054F	0x81D5    	AJMP L_main23
L_main7:
;calculadora.c,55 :: 		if(9<kp && kp<14){
0x0551	0xC3      	CLR C
0x0552	0x7409    	MOV A, #9
0x0554	0x9509    	SUBB A, _kp
0x0556	0x5039    	JNC L_main26
0x0558	0xC3      	CLR C
0x0559	0xE509    	MOV A, _kp
0x055B	0x940E    	SUBB A, #14
0x055D	0x5032    	JNC L_main26
L__main35:
;calculadora.c,56 :: 		Lcd_Cmd(_LCD_CLEAR);
0x055F	0x752001  	MOV FARG_Lcd_Cmd_out_char, #1
0x0562	0x1195    	ACALL _Lcd_Cmd
;calculadora.c,57 :: 		IntToStr(num, txt);
0x0564	0x853212  	MOV FARG_IntToStr_input, _num+0
0x0567	0x853313  	MOV FARG_IntToStr_input+1, _num+1
0x056A	0x75140B  	MOV FARG_IntToStr_output, lo_addr(_txt)
0x056D	0x715D    	ACALL _IntToStr
;calculadora.c,58 :: 		Lcd_Out(1,7,txt);
0x056F	0x751201  	MOV FARG_LCD_Out_row, #1
0x0572	0x751307  	MOV FARG_LCD_Out_column, #7
0x0575	0x75140B  	MOV FARG_LCD_Out_text, lo_addr(_txt)
0x0578	0x513E    	ACALL _LCD_Out
;calculadora.c,59 :: 		Lcd_Out(1,13,operacion);
0x057A	0x751201  	MOV FARG_LCD_Out_row, #1
0x057D	0x75130D  	MOV FARG_LCD_Out_column, #13
0x0580	0x751408  	MOV FARG_LCD_Out_text, lo_addr(_operacion)
0x0583	0x513E    	ACALL _LCD_Out
;calculadora.c,60 :: 		res=num;
0x0585	0x853230  	MOV _res, _num+0
0x0588	0x853331  	MOV _res+1, _num+1
;calculadora.c,61 :: 		num=0;
0x058B	0x753200  	MOV _num, #0
0x058E	0x753300  	MOV _num+1, #0
;calculadora.c,62 :: 		}
L_main26:
;calculadora.c,64 :: 		if(kp==21){
0x0591	0xE509    	MOV A, _kp
0x0593	0x6415    	XRL A, #21
0x0595	0x6002    	JZ #2
0x0597	0xA1FF    	AJMP L_main27
;calculadora.c,65 :: 		switch(operacion[0]){
0x0599	0x8041    	SJMP L_main28
;calculadora.c,66 :: 		case 43:  res=res+num; break;
L_main30:
0x059B	0xE530    	MOV A, _res
0x059D	0x2532    	ADD A, _num
0x059F	0xF530    	MOV _res, A
0x05A1	0xE531    	MOV A, _res+1
0x05A3	0x3533    	ADDC A, _num+1
0x05A5	0xF531    	MOV _res+1, A
0x05A7	0x804B    	SJMP L_main29
;calculadora.c,67 :: 		case 45:  res=res-num; break;
L_main31:
0x05A9	0xC3      	CLR C
0x05AA	0xE530    	MOV A, _res
0x05AC	0x9532    	SUBB A, _num
0x05AE	0xF530    	MOV _res, A
0x05B0	0xE531    	MOV A, _res+1
0x05B2	0x9533    	SUBB A, _num+1
0x05B4	0xF531    	MOV _res+1, A
0x05B6	0x803C    	SJMP L_main29
;calculadora.c,68 :: 		case 120: res=res*num; break;
L_main32:
0x05B8	0xA830    	MOV R0, _res
0x05BA	0xA931    	MOV R1, _res+1
0x05BC	0xAC32    	MOV R4, _num
0x05BE	0xAD33    	MOV R5, _num+1
0x05C0	0x9143    	ACALL _Mul_16x16
0x05C2	0x850030  	MOV _res, 0
0x05C5	0x850131  	MOV _res+1, 1
0x05C8	0x802A    	SJMP L_main29
;calculadora.c,69 :: 		case 253: res=res/num; break;
L_main33:
0x05CA	0xAC32    	MOV R4, _num
0x05CC	0xAD33    	MOV R5, _num+1
0x05CE	0xA830    	MOV R0, _res
0x05D0	0xA931    	MOV R1, _res+1
0x05D2	0x910D    	ACALL _Div_16x16_S
0x05D4	0x850030  	MOV _res, 0
0x05D7	0x850131  	MOV _res+1, 1
0x05DA	0x8018    	SJMP L_main29
;calculadora.c,70 :: 		}
L_main28:
0x05DC	0xE508    	MOV A, _operacion
0x05DE	0x642B    	XRL A, #43
0x05E0	0x60B9    	JZ L_main30
0x05E2	0xE508    	MOV A, _operacion
